"_col0","lifespan","objects"
"2015-12-20 00:00:00.000","234013.1","26"
"2014-10-05 00:00:00.000",,"1"
"2014-10-06 00:00:00.000","888491.0","3"
"2017-09-20 00:00:00.000","38343.0","1"
"2016-08-17 00:00:00.000","167933.16666666666","146"
"2016-09-06 00:00:00.000","206380.82142857142","1024"
"2016-09-07 00:00:00.000","342374.93684210523","537"
"2016-11-02 00:00:00.000","17.0","49"
"2015-09-15 00:00:00.000",,"12"
"2017-08-31 00:00:00.000",,"3"
"2013-09-02 00:00:00.000","684345.0","3"
"2018-08-24 00:00:00.000",,"2"
"2018-11-15 00:00:00.000",,"1"
"2015-05-15 00:00:00.000","350878.0","427"
"2016-05-27 00:00:00.000","284689.3661327231","2237"
"2018-08-05 00:00:00.000",,"2"
"2015-05-29 00:00:00.000","900249.0","82"
"2018-03-04 00:00:00.000",,"1"
"2019-05-13 00:00:00.000",,"1"
"2018-03-24 00:00:00.000","19238.0","2"
"2016-06-10 00:00:00.000","204164.3848101266","1987"
"2016-06-03 00:00:00.000","413216.57627118647","2945"
"2016-05-14 00:00:00.000","272646.8448275862","1033"
"2015-05-28 00:00:00.000","699609.4117647059","24"
"2015-06-04 00:00:00.000","602713.0","5"
"2017-03-04 00:00:00.000","250.0","4"
"2018-05-14 00:00:00.000",,"8"
"2017-03-05 00:00:00.000","87515.0","14"
"2016-03-18 00:00:00.000","4212.666666666667","3"
"2018-05-06 00:00:00.000",,"3"
"2016-07-22 00:00:00.000","720679.6666666666","15"
"2016-05-13 00:00:00.000","302864.86971235194","2656"
"2016-04-29 00:00:00.000","246300.1386962552","1487"
"2015-05-13 00:00:00.000","942303.6945054946","1130"
"2016-05-19 00:00:00.000","265494.69983948633","1193"
"2016-05-05 00:00:00.000","264134.9168975069","1073"
"2017-07-20 00:00:00.000",,"21"
"2015-05-07 00:00:00.000","754399.7777777778","76"
"2016-02-26 00:00:00.000","209426.81818181818","113"
"2019-05-11 00:00:00.000",,"1"
"2016-05-12 00:00:00.000","214180.45579793342","1810"
"2015-04-30 00:00:00.000","929422.7083333334","387"
"2017-03-03 00:00:00.000","379421.0652173913","293"
"2016-07-21 00:00:00.000","420782.17142857146","63"
"2017-05-05 00:00:00.000","162043.7435897436","343"
"2015-05-01 00:00:00.000","776798.4615384615","44"
"2016-07-15 00:00:00.000","391503.0","15"
"2018-02-24 00:00:00.000",,"1"
"2017-03-17 00:00:00.000","56360.357142857145","495"
"2015-05-14 00:00:00.000","494928.1034482759","2035"
"2016-02-19 00:00:00.000","438425.1818181818","393"
"2014-04-24 00:00:00.000","1181223.3333333333","3"
"2015-05-21 00:00:00.000","619909.5","106"
"2017-07-21 00:00:00.000",,"1"
"2014-05-21 00:00:00.000","1307432.0","1"
"2018-04-22 00:00:00.000","2.0","25"
"2016-03-04 00:00:00.000","64780.4","5"
"2017-04-29 00:00:00.000",,"2"
"2018-02-25 00:00:00.000",,"1"
"2016-03-17 00:00:00.000","5635.5","2"
"2016-09-09 00:00:00.000","239230.7983870968","609"
"2017-12-01 00:00:00.000","352336.36363636365","661"
"2017-11-18 00:00:00.000",,"34"
"2013-08-06 00:00:00.000","1660296.5","32"
"2016-12-01 00:00:00.000","307482.4","71"
