"_col0","lifespan_minutes","changesets","objects"
"2018-04-14 00:00:00.000",,"1","6"
"2016-05-31 00:00:00.000","261504.14133333333","89","2271"
"2016-06-14 00:00:00.000","363923.86075949366","38","433"
"2016-03-23 00:00:00.000","98103.0","2","14"
"2018-03-09 00:00:00.000","47496.0","3","3"
"2016-07-20 00:00:00.000","352892.0","1","1"
"2016-03-09 00:00:00.000","318848.5925925926","1","27"
"2018-08-02 00:00:00.000",,"1","2"
"2016-08-10 00:00:00.000","434961.4","2","10"
"2016-10-19 00:00:00.000","40791.5","9","33"
"2016-12-20 00:00:00.000","217339.79166666666","9","80"
"2016-12-27 00:00:00.000","581572.875","8","15"
"2017-08-23 00:00:00.000","3.0","8","56"
"2016-08-23 00:00:00.000","378082.6","8","79"
"2017-12-20 00:00:00.000",,"2","81"
"2013-08-11 00:00:00.000","1810888.0502793295","1","189"
"2015-05-13 00:00:00.000","942303.6945054946","54","1130"
"2016-05-19 00:00:00.000","265494.69983948633","30","1193"
"2016-05-13 00:00:00.000","302864.86971235194","67","2656"
"2016-04-29 00:00:00.000","246300.1386962552","40","1487"
"2016-02-26 00:00:00.000","209426.81818181818","4","113"
"2017-07-20 00:00:00.000",,"9","21"
"2016-05-05 00:00:00.000","264134.9168975069","9","1073"
"2015-05-07 00:00:00.000","754399.7777777778","2","76"
"2019-05-11 00:00:00.000",,"1","1"
"2016-05-20 00:00:00.000","299284.5961783439","39","1944"
"2017-05-07 00:00:00.000","271822.39285714284","65","346"
"2016-05-21 00:00:00.000","283145.4054054054","5","240"
"2018-03-11 00:00:00.000","37366.0","11","34"
"2018-05-27 00:00:00.000",,"1","2"
"2018-07-16 00:00:00.000",,"1","1"
"2016-05-07 00:00:00.000","55807.0","2","2"
"2016-05-27 00:00:00.000","284689.3661327231","36","2237"
"2015-05-15 00:00:00.000","350878.0","19","427"
"2015-05-29 00:00:00.000","900249.0","5","82"
"2019-05-13 00:00:00.000",,"1","1"
"2018-08-05 00:00:00.000",,"1","2"
"2018-03-04 00:00:00.000",,"1","1"
