"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2013-11-17 00:00:00.000","1379975.1612903227","6","265","265"
"2016-09-06 00:00:00.000","185613.5","1","8","7"
"2018-08-24 00:00:00.000",,"1","1","1"
"2015-11-17 00:00:00.000","336435.0","1","2","2"
"2019-01-17 00:00:00.000",,"1","1","1"
"2016-11-02 00:00:00.000",,"1","1","1"
"2019-01-10 00:00:00.000",,"1","1","1"
"2018-10-25 00:00:00.000",,"1","1","1"
"2016-11-21 00:00:00.000","185542.38888888888","1","358","358"
"2013-11-16 00:00:00.000","1331222.1801242237","7","3120","3119"
"2016-11-14 00:00:00.000",,"2","5","5"
"2019-01-16 00:00:00.000",,"1","5","5"
"2016-09-05 00:00:00.000","184687.18823529413","24","188","130"
"2017-01-30 00:00:00.000","220555.0","2","5","5"
"2018-09-12 00:00:00.000",,"1","2","2"
"2017-01-29 00:00:00.000","339099.0","2","5","3"
"2015-11-16 00:00:00.000","552109.6666666666","2","64","61"
"2017-01-16 00:00:00.000","125686.55555555556","1","161","120"
"2016-09-12 00:00:00.000","62871.0","2","2","2"
"2008-07-22 00:00:00.000","620994.0","1","3","3"
"2018-09-05 00:00:00.000","191677.0","1","22","22"
"2014-12-05 00:00:00.000","851487.75","1","14","14"
"2015-11-15 00:00:00.000","90651.05882352941","1","48","42"
"2017-09-05 00:00:00.000",,"3","6","6"
"2014-12-06 00:00:00.000","202943.0","1","8","8"
"2018-01-22 00:00:00.000","510015.0","1","2","2"
"2016-11-15 00:00:00.000","487200.0","1","9","9"
"2017-11-07 00:00:00.000",,"1","1","1"
"2015-09-14 00:00:00.000",,"1","2","2"
"2017-09-18 00:00:00.000","709641.0","1","1","1"
"2015-11-22 00:00:00.000",,"1","1","1"
"2016-09-26 00:00:00.000","460270.0","1","1","1"
"2016-01-19 00:00:00.000","199639.0","1","16","14"
"2019-03-15 00:00:00.000","30282.777777777777","1","15","14"
"2013-01-21 00:00:00.000","419425.0","1","3","3"
"2011-04-02 00:00:00.000","1295341.6","1","5","5"
"2013-05-20 00:00:00.000","249358.75","1","13","13"
"2016-05-31 00:00:00.000",,"1","2","2"
"2019-03-21 00:00:00.000",,"1","1","1"
"2011-01-28 00:00:00.000","74553.42857142857","1","7","7"
"2018-08-02 00:00:00.000",,"1","4","4"
"2015-03-23 00:00:00.000","18917.0","1","1","1"
"2013-05-26 00:00:00.000","168384.58333333334","1","36","36"
